================================================================================
VoxCPM 非语言声音类别完整列表
================================================================================

总数据量: 273,424 条
87       [嘶声],[嘘声]                                   92
88       [嘶声],[呻吟]                                   91
89       [打喷嚏],[呻吟]                                  85
90       [咳嗽],[笑声]                                   84
91       [打喷嚏],[嘘声]                                  84
92       [倒吸气],[打喷嚏]                                 83
93       [打鼾],[嘘声]                                   83
94       [嘶声],[吹口哨]                                  82
95       [吹口哨],[呻吟]                                  81
96       [打喷嚏],[咂嘴]                                  80
97       [吹口哨],[打鼾]                                  80
98       [不满],[疑问]                                   79
99       [哈欠],[哼唱]                                   78
100      [嘶声],[打喷嚏]                                  73
101      [叹气],[确认]                                   72
102      [嘶声],[打鼾]                                   71
103      [咳嗽],[呼吸]                                   70
104      [叹气],[不满]                                   68
105      [疑问],[呼吸]                                   67
106      [哼唱],[哈欠]                                   59
107      [哈欠],[打鼾]                                   59
108      [呻吟],[打鼾]                                   53
109      [打喷嚏],[打鼾]                                  52
110      [疑问],[笑声]                                   50
111      [打喷嚏],[哈欠]                                  50
112      [疑问],[确认]                                   47
113      [咳嗽],[确认]                                   46
114      [惊讶],[叹气]                                   46
115      [咂嘴],[嘶声]                                   46
116      [不满],[确认]                                   44
117      [嘶声],[哈欠]                                   44
118      [不满],[惊讶]                                   43
119      [惊讶],[笑声],[疑问]                              42
120      [咂嘴],[呻吟]                                   42
121      [咂嘴],[哼唱]                                   41
122      [嘶声],[哼唱]                                   41
123      [咂嘴],[倒吸气]                                  41
124      [咂嘴],[嘘声]                                   41
125      [倒吸气],[哼唱]                                  40
126      [疑问],[迟疑]                                   39
127      [吹口哨],[哼唱]                                  39
128      [咳嗽],[疑问]                                   37
129      [咂嘴],[吹口哨]                                  35
130      [打喷嚏],[吹口哨]                                 32
131      [倒吸气],[哈欠]                                  32
132      [倒吸气],[打鼾]                                  32
133      [惊讶],[呼吸],[笑声]                              31
134      [呼吸],[迟疑],[确认]                              31
135      [呼吸],[笑声],[确认]                              31
136      [打喷嚏],[哼唱]                                  30
137      [确认],[不满]                                   29
138      [吹口哨],[哈欠]                                  29
139      [惊讶],[迟疑],[疑问]                              28
140      [咂嘴],[打喷嚏]                                  27
141      [笑声],[呼吸]                                   27
142      [呼吸],[鼓掌]                                   26
143      [咳嗽],[叹气]                                   25
144      [惊讶],[咳嗽]                                   24
145      [迟疑],[笑声],[呼吸]                              22
146      [惊讶],[呼吸],[疑问]                              22
147      [迟疑],[呼吸],[惊讶]                              21
148      [呼吸],[惊讶],[确认]                              21
149      [呼吸],[笑声],[惊讶]                              21
150      [嘘声],[呼吸]                                   21
151      [鼓掌],[笑声]                                   21
152      [疑问],[不满]                                   20
153      [呼吸],[笑声],[疑问]                              20
154      [咂嘴],[打鼾]                                   20
155      [惊讶],[迟疑],[确认]                              19
156      [鼓掌],[叹气]                                   19
157      [笑声],[鼓掌]                                   19
158      [咂嘴],[哈欠]                                   19
159      [迟疑],[呼吸],[笑声]                              18
160      [惊讶],[笑声],[确认]                              18
161      [鼓掌],[呼吸]                                   18
162      [惊讶],[确认],[疑问]                              17
163      [迟疑],[笑声],[惊讶]                              16
164      [惊讶],[迟疑],[呼吸]                              16
165      [叹气],[迟疑],[惊讶]                              16
166      [吹口哨],[鼓掌]                                  16
167      [哈欠],[倒吸气],[咂嘴]                             16
168      [惊讶],[笑声],[呼吸]                              15
169      [咳嗽],[不满]                                   15
170      [惊讶],[迟疑],[笑声]                              15
171      [叹气],[鼓掌]                                   15
172      [呼吸],[确认],[惊讶]                              14
173      [迟疑],[笑声],[确认]                              14
174      [迟疑],[惊讶],[呼吸]                              14
175      [笑声],[叹气]                                   14
176      [迟疑],[疑问],[惊讶]                              13
177      [迟疑],[惊讶],[笑声]                              13
178      [笑声],[确认],[惊讶]                              13
179      [惊讶],[呼吸],[迟疑]                              13
180      [迟疑],[确认],[惊讶]                              13
181      [鼓掌],[清嗓]                                   13
182      [呼吸],[吸鼻]                                   13
183      [叹气],[呼吸],[不满]                              13
184      [哼唱],[倒吸气],[咂嘴]                             13
185      [呻吟],[打喷嚏],[倒吸气]                            13
186      [呼吸],[惊讶],[疑问]                              12
187      [呼吸],[迟疑],[惊讶]                              12
188      [迟疑],[惊讶],[疑问]                              12
189      [呼吸],[迟疑],[疑问]                              12
190      [迟疑],[笑声],[不满]                              12
191      [呼吸],[确认],[疑问]                              12
192      [叹气],[呼吸],[笑声]                              12
193      [笑声],[嘶声]                                   12
194      [吸鼻],[呼吸]                                   12
195      [清嗓],[鼓掌]                                   12
196      [疑问],[叹气]                                   12
197      [呻吟],[笑声]                                   12
198      [哼唱],[倒吸气],[嘶声]                             12
199      [哈欠],[倒吸气],[嘘声]                             12
200      [叹气],[呼吸],[确认]                              11
201      [迟疑],[惊讶],[确认]                              11
202      [打喷嚏],[呼吸]                                  11
203      [哼唱],[鼓掌]                                   11
204      [哈欠],[呻吟],[吹口哨]                             11
205      [哼唱],[打喷嚏],[倒吸气]                            11
206      [迟疑],[笑声],[疑问]                              10
207      [叹气],[惊讶],[迟疑]                              10
208      [疑问],[迟疑],[惊讶]                              10
209      [清嗓],[咂嘴]                                   10
210      [呼吸],[呻吟]                                   10
211      [咂嘴],[清嗓]                                   10
212      [吸鼻],[鼓掌]                                   10
213      [哼唱],[咂嘴],[吹口哨]                             10
214      [哈欠],[倒吸气],[吹口哨]                            10
215      [哈欠],[嘶声],[倒吸气]                             10
216      [哼唱],[吹口哨],[打喷嚏]                            10
217      [哈欠],[打喷嚏],[倒吸气]                            10
218      [打鼾],[嘶声],[打喷嚏]                             10
219      [哈欠],[哼唱],[吹口哨]                             10
220      [哈欠],[嘶声],[咂嘴]                              10
221      [笑声],[呼吸],[迟疑]                               9
222      [叹气],[迟疑],[笑声]                               9
223      [迟疑],[确认],[疑问]                               9
224      [确认],[迟疑],[呼吸]                               9
225      [呼吸],[哭声]                                    9
226      [呼吸],[打喷嚏]                                   9
227      [哈欠],[呻吟],[倒吸气]                              9
228      [打鼾],[倒吸气],[吹口哨]                             9
229      [呻吟],[嘘声],[倒吸气]                              9
230      [哼唱],[倒吸气],[呻吟]                              9
231      [哼唱],[嘶声],[倒吸气]                              9
232      [打鼾],[嘶声],[倒吸气]                              9
233      [嘘声],[嘶声],[呻吟]                               9
234      [嘘声],[嘶声],[吹口哨]                              9
235      [打鼾],[倒吸气],[呻吟]                              9
236      [哈欠],[打喷嚏],[吹口哨]                             9
237      [打鼾],[嘶声],[呻吟]                               9
238      [呼吸],[疑问],[惊讶]                               8
239      [笑声],[咳嗽]                                    8
240      [呼吸],[清嗓]                                    8
241      [呻吟],[呼吸]                                    8
242      [嘶声],[笑声]                                    8
243      [呼吸],[叹气]                                    8
244      [呼吸],[哼唱]                                    8
245      [清嗓],[笑声]                                    8
246      [叹气],[迟疑],[呼吸]                               8
247      [嘘声],[迟疑]                                    8
248      [叹气],[迟疑],[疑问]                               8
249      [哼唱],[呼吸]                                    8
250      [笑声],[呻吟]                                    8
251      [呼吸],[咳嗽]                                    8
252      [嘶声],[呻吟],[吹口哨]                              8
253      [打鼾],[咂嘴],[吹口哨]                              8
254      [吹口哨],[倒吸气],[咂嘴]                             8
255      [嘘声],[打喷嚏],[咂嘴]                              8
256      [哈欠],[嘶声],[吹口哨]                              8
257      [打鼾],[打喷嚏],[呻吟]                              8
258      [打鼾],[倒吸气],[嘶声]                              8
259      [哈欠],[哼唱],[咂嘴]                               8
260      [打鼾],[哼唱],[吹口哨]                              8
261      [哼唱],[吹口哨],[嘶声]                              8
262      [哈欠],[呻吟],[嘶声]                               8
263      [哈欠],[呻吟],[嘘声]                               8
264      [叹气],[呼吸],[惊讶]                               7
265      [叹气],[呼吸],[迟疑]                               7
266      [清嗓],[呼吸]                                    7
267      [笑声],[清嗓]                                    7
268      [咳嗽],[迟疑],[惊讶]                               7
269      [叹气],[惊讶],[疑问]                               7
270      [鼓掌],[吹口哨]                                   7
271      [哼唱],[打喷嚏],[呻吟]                              7
272      [呻吟],[哼唱],[打喷嚏]                              7
273      [倒吸气],[嘘声],[呻吟]                              7
274      [嘘声],[嘶声],[倒吸气]                              7
275      [哈欠],[咂嘴],[嘶声]                               7
276      [嘘声],[哈欠],[打鼾]                               7
277      [哈欠],[呻吟],[咂嘴]                               7
278      [哈欠],[咂嘴],[倒吸气]                              7
279      [呻吟],[哼唱],[倒吸气]                              7
280      [嘘声],[吹口哨],[咂嘴]                              7
281      [嘘声],[哼唱],[倒吸气]                              7
282      [嘘声],[哈欠],[打喷嚏]                              7
283      [打鼾],[呻吟],[倒吸气]                              7
284      [打鼾],[吹口哨],[嘶声]                              7
285      [打鼾],[吹口哨],[打喷嚏]                             7
286      [吹口哨],[打喷嚏],[咂嘴]                             7
287      [呻吟],[嘘声],[哈欠]                               7
288      [打鼾],[打喷嚏],[吹口哨]                             7
289      [哈欠],[哼唱],[打喷嚏]                              7
290      [打鼾],[哼唱],[倒吸气]                              7
291      [呻吟],[打喷嚏],[吹口哨]                             7
292      [打鼾],[呻吟],[嘘声]                               7
293      [哼唱],[倒吸气],[吹口哨]                             7
294      [嘘声],[倒吸气],[咂嘴]                              7
295      [呻吟],[哼唱],[咂嘴]                               7
296      [打鼾],[倒吸气],[咂嘴]                              7
297      [打鼾],[呻吟],[哈欠]                               7
298      [哼唱],[呻吟],[吹口哨]                              7
299      [哼唱],[呻吟],[嘶声]                               7
300      [哼唱],[嘶声],[吹口哨]                              7
301      [呼吸],[不满],[确认]                               6
302      [叹气],[呼吸],[疑问]                               6
303      [迟疑],[呼吸],[疑问]                               6
304      [嘘声],[惊讶]                                    6
305      [呼吸],[咂嘴]                                    6
306      [打喷嚏],[鼓掌]                                   6
307      [咳嗽],[吸鼻]                                    6
308      [吸鼻],[咳嗽]                                    6
309      [惊讶],[不满],[疑问]                               6
310      [惊讶],[叹气],[迟疑]                               6
311      [咳嗽],[迟疑],[笑声]                               6
312      [嘶声],[呼吸]                                    6
313      [呻吟],[叹气]                                    6
314      [鼓掌],[咂嘴]                                    6
315      [打鼾],[呻吟],[吹口哨]                              6
316      [哼唱],[打喷嚏],[嘶声]                              6
317      [嘶声],[倒吸气],[咂嘴]                              6
318      [哼唱],[打鼾],[打喷嚏]                              6
319      [呻吟],[倒吸气],[吹口哨]                             6
320      [打鼾],[嘶声],[吹口哨]                              6
321      [吹口哨],[嘶声],[咂嘴]                              6
322      [打鼾],[嘘声],[嘶声]                               6
323      [吹口哨],[呻吟],[咂嘴]                              6
324      [倒吸气],[吹口哨],[咂嘴]                             6
325      [打鼾],[哈欠],[嘘声]                               6
326      [打鼾],[哈欠],[倒吸气]                              6
327      [哈欠],[哼唱],[倒吸气]                              6
328      [嘘声],[嘶声],[咂嘴]                               6
329      [嘘声],[吹口哨],[嘶声]                              6
330      [哼唱],[打喷嚏],[吹口哨]                             6
331      [哈欠],[嘶声],[哼唱]                               6
332      [打鼾],[呻吟],[嘶声]                               6
333      [呻吟],[嘘声],[咂嘴]                               6
334      [呻吟],[嘶声],[哼唱]                               6
335      [打鼾],[吹口哨],[倒吸气]                             6
336      [哼唱],[倒吸气],[打鼾]                              6
337      [呻吟],[哈欠],[打喷嚏]                              6
338      [打鼾],[哈欠],[吹口哨]                              6
339      [嘘声],[哼唱],[吹口哨]                              6
340      [呻吟],[打喷嚏],[咂嘴]                              6
341      [笑声],[呼吸],[惊讶]                               5
342      [叹气],[惊讶],[确认]                               5
343      [惊讶],[嘘声]                                    5
344      [打喷嚏],[咳嗽]                                   5
345      [鼓掌],[吸鼻]                                    5
346      [呼吸],[笑声],[鼓掌]                               5
347      [呻吟],[嘶声],[吹口哨]                              5
348      [咳嗽],[惊讶],[迟疑]                               5
349      [嘘声],[疑问]                                    5
350      [叹气],[迟疑],[确认]                               5
351      [笑声],[惊讶],[迟疑]                               5
352      [咳嗽],[打喷嚏]                                   5
353      [打喷嚏],[叹气]                                   5
354      [笑声],[吹口哨]                                   5
355      [呼吸],[嘶声]                                    5
356      [呻吟],[倒吸气],[咂嘴]                              5
357      [打鼾],[嘶声],[哼唱]                               5
358      [呻吟],[打喷嚏],[打鼾]                              5
359      [哈欠],[吹口哨],[打喷嚏]                             5
360      [嘘声],[哈欠],[咂嘴]                               5
361      [倒吸气],[嘶声],[咂嘴]                              5
362      [倒吸气],[嘘声],[咂嘴]                              5
363      [呻吟],[嘶声],[咂嘴]                               5
364      [嘘声],[打喷嚏],[倒吸气]                             5
365      [哼唱],[打喷嚏],[咂嘴]                              5
366      [哈欠],[打喷嚏],[嘘声]                              5
367      [哈欠],[倒吸气],[打喷嚏]                             5
368      [哈欠],[哼唱],[嘶声]                               5
369      [打鼾],[打喷嚏],[倒吸气]                             5
370      [哼唱],[吹口哨],[打鼾]                              5
371      [哈欠],[打喷嚏],[咂嘴]                              5
372      [嘘声],[呻吟],[倒吸气]                              5
373      [哼唱],[吹口哨],[倒吸气]                             5
374      [呻吟],[吹口哨],[咂嘴]                              5
375      [打鼾],[倒吸气],[哼唱]                              5
376      [打喷嚏],[呻吟],[咂嘴]                              5
377      [嘶声],[呻吟],[打鼾]                               5
378      [打鼾],[呻吟],[哼唱]                               5
379      [嘘声],[哼唱],[嘶声]                               5
380      [倒吸气],[打喷嚏],[呻吟]                             5
381      [呻吟],[嘘声],[打喷嚏]                              5
382      [吹口哨],[打喷嚏],[呻吟]                             5
383      [哼唱],[嘶声],[咂嘴]                               5
384      [哼唱],[打鼾],[倒吸气]                              5
385      [嘘声],[倒吸气],[嘶声]                              5
386      [哼唱],[呻吟],[打鼾]                               5
387      [倒吸气],[呻吟],[咂嘴]                              5
388      [嘘声],[呻吟],[哈欠]                               5
389      [吹口哨],[打喷嚏],[打鼾]                             5
390      [嘘声],[哼唱],[咂嘴]                               5
391      [打鼾],[哼唱],[打喷嚏]                              5
392      [嘘声],[打鼾],[倒吸气]                              5
393      [嘘声],[倒吸气],[打喷嚏]                             5
394      [吹口哨],[嘶声],[打喷嚏]                             5
395      [嘘声],[吹口哨],[打鼾]                              5
396      [哼唱],[嘘声],[打喷嚏]                              5
397      [哈欠],[打喷嚏],[嘶声]                              5
398      [哈欠],[嘘声],[倒吸气]                              5
399      [哈欠],[嘘声],[咂嘴]                               5
400      [哼唱],[嘘声],[嘶声]                               5
401      [呻吟],[咂嘴],[吹口哨]                              5
402      [打鼾],[打喷嚏],[咂嘴]                              5
403      [呻吟],[打喷嚏],[嘘声]                              5
404      [嘘声],[打鼾],[嘶声]                               5
405      [叹气],[确认],[惊讶]                               4
406      [叹气],[惊讶],[笑声]                               4
407      [疑问],[笑声],[惊讶]                               4
408      [叹气],[不满],[惊讶]                               4
409      [迟疑],[不满],[惊讶]                               4
410      [叹气],[笑声],[不满]                               4
411      [确认],[惊讶],[呼吸]                               4
412      [咂嘴],[呼吸]                                    4
413      [叹气],[吹口哨]                                   4
414      [鼓掌],[打喷嚏]                                   4
415      [呻吟],[吹口哨],[嘶声]                              4
416      [叹气],[呻吟]                                    4
417      [吹口哨],[吸鼻]                                   4
418      [吹口哨],[叹气]                                   4
419      [哭声],[惊讶]                                    4
420      [惊讶],[呼吸],[不满]                               4
421      [咳嗽],[呼吸],[笑声]                               4
422      [叹气],[笑声],[疑问]                               4
423      [哼唱],[咂嘴],[笑声]                               4
424      [吹口哨],[呼吸]                                   4
425      [笑声],[鼓掌],[呼吸]                               4
426      [呼吸],[鼓掌],[笑声]                               4
427      [吹口哨],[打喷嚏],[笑声]                             4
428      [叹气],[咳嗽]                                    4
429      [惊讶],[笑声],[不满]                               4
430      [叹气],[不满],[确认]                               4
431      [咂嘴],[鼓掌]                                    4
432      [吹口哨],[呻吟],[嘶声]                              4
433      [叹气],[打喷嚏]                                   4
434      [呼吸],[吹口哨]                                   4
435      [疑问],[迟疑],[确认]                               4
436      [叹气],[笑声],[确认]                               4
437      [呼吸],[惊讶],[不满]                               4
438      [呻吟],[嘶声],[倒吸气]                              4
439      [哼唱],[嘘声],[打鼾]                               4
440      [打鼾],[哈欠],[打喷嚏]                              4
441      [呻吟],[吹口哨],[倒吸气]                             4
442      [呻吟],[打喷嚏],[嘶声]                              4
443      [打鼾],[嘘声],[咂嘴]                               4
444      [倒吸气],[咂嘴],[吹口哨]                             4
445      [嘘声],[呻吟],[吹口哨]                              4
446      [哈欠],[嘶声],[嘘声]                               4
447      [嘶声],[吹口哨],[倒吸气]                             4
448      [嘘声],[打鼾],[咂嘴]                               4
449      [哼唱],[吹口哨],[哈欠]                              4
450      [哈欠],[倒吸气],[呻吟]                              4
451      [哈欠],[吹口哨],[倒吸气]                             4
452      [吹口哨],[嘶声],[倒吸气]                             4
453      [嘘声],[咂嘴],[呻吟]                               4
454      [打鼾],[打喷嚏],[嘶声]                              4
455      [哼唱],[打鼾],[呻吟]                               4
456      [呻吟],[打鼾],[嘶声]                               4
457      [打喷嚏],[倒吸气],[打鼾]                             4
458      [打鼾],[倒吸气],[哈欠]                              4
459      [呻吟],[打喷嚏],[哼唱]                              4
460      [吹口哨],[哈欠],[打鼾]                              4
461      [嘶声],[打喷嚏],[打鼾]                              4
462      [哼唱],[嘘声],[咂嘴]                               4
463      [打喷嚏],[倒吸气],[嘶声]                             4
464      [呻吟],[打鼾],[咂嘴]                               4
465      [哼唱],[倒吸气],[打喷嚏]                             4
466      [吹口哨],[打鼾],[哈欠]                              4
467      [哼唱],[呻吟],[嘘声]                               4
468      [倒吸气],[嘶声],[呻吟]                              4
469      [打鼾],[吹口哨],[哼唱]                              4
470      [呻吟],[打鼾],[吹口哨]                              4
471      [哼唱],[咂嘴],[嘘声]                               4
472      [嘶声],[打鼾],[哼唱]                               4
473      [吹口哨],[哼唱],[打鼾]                              4
474      [嘘声],[吹口哨],[倒吸气]                             4
475      [呻吟],[嘘声],[打鼾]                               4
476      [嘘声],[吹口哨],[打喷嚏]                             4
477      [哈欠],[嘘声],[打喷嚏]                              4
478      [嘘声],[哈欠],[倒吸气]                              4
479      [呻吟],[哼唱],[吹口哨]                              4
480      [呻吟],[倒吸气],[打喷嚏]                             4
481      [打鼾],[呻吟],[咂嘴]                               4
482      [打鼾],[哼唱],[咂嘴]                               4
483      [打鼾],[倒吸气],[打喷嚏]                             4
484      [打鼾],[吹口哨],[咂嘴]                              4
485      [吹口哨],[哼唱],[呻吟]                              4
486      [哈欠],[打鼾],[哼唱]                               4
487      [哈欠],[哼唱],[打鼾]                               4
488      [嘶声],[吹口哨],[打喷嚏]                             4
489      [打鼾],[嘘声],[吹口哨]                              4
490      [哼唱],[打鼾],[咂嘴]                               4
491      [吹口哨],[嘘声],[嘶声]                              4
492      [哼唱],[嘘声],[倒吸气]                              4
493      [哈欠],[倒吸气],[嘶声]                              4
494      [打喷嚏],[倒吸气],[呻吟]                             4
495      [吹口哨],[倒吸气],[打喷嚏]                            4
496      [嘘声],[打喷嚏],[呻吟]                              4
497      [哼唱],[嘶声],[打喷嚏]                              4
498      [哼唱],[倒吸气],[嘘声]                              4
499      [打喷嚏],[嘶声],[吹口哨]                             4
500      [嘘声],[打鼾],[哈欠]                               4
501      [哭声],[笑声]                                    3
502      [咳嗽],[惊讶],[笑声]                               3
503      [惊讶],[疑问],[确认]                               3
504      [确认],[呼吸],[不满]                               3
505      [确认],[惊讶],[迟疑],[呼吸]                          3
506      [笑声],[迟疑],[惊讶]                               3
507      [确认],[迟疑],[疑问]                               3
508      [叹气],[笑声],[惊讶]                               3
509      [疑问],[惊讶],[呼吸]                               3
510      [叹气],[嘘声]                                    3
511      [咳嗽],[惊讶],[疑问]                               3
512      [不满],[笑声],[确认]                               3
513      [嘶声],[咳嗽]                                    3
514      [笑声],[哼唱]                                    3
515      [哼唱],[吹口哨],[咂嘴]                              3
516      [咂嘴],[笑声]                                    3
517      [叹气],[咂嘴]                                    3
518      [吹口哨],[笑声]                                   3
519      [叹气],[清嗓]                                    3
520      [咳嗽],[迟疑],[确认]                               3
521      [咳嗽],[迟疑],[疑问]                               3
522      [惊讶],[疑问],[迟疑],[呼吸]                          3
523      [咳嗽],[鼓掌]                                    3
524      [咂嘴],[笑声],[哼唱]                               3
525      [哼唱],[咳嗽]                                    3
526      [吸鼻],[吹口哨]                                   3
527      [笑声],[打喷嚏]                                   3
528      [清嗓],[嘶声]                                    3
529      [哼唱],[鼓掌],[吸鼻]                               3
530      [吸鼻],[鼓掌],[哼唱]                               3
531      [吸鼻],[嘶声]                                    3
532      [呼吸],[咂嘴],[哼唱]                               3
533      [迟疑],[惊讶],[不满]                               3
534      [迟疑],[不满],[呼吸]                               3
535      [咳嗽],[确认],[疑问]                               3
536      [嘘声],[确认]                                    3
537      [叹气],[惊讶],[不满]                               3
538      [叹气],[疑问],[惊讶]                               3
539      [鼓掌],[呻吟]                                    3
540      [呻吟],[咳嗽]                                    3
541      [笑声],[吸鼻]                                    3
542      [鼓掌],[笑声],[呼吸]                               3
543      [咂嘴],[咳嗽]                                    3
544      [笑声],[哼唱],[咂嘴]                               3
545      [呼吸],[迟疑],[不满]                               3
546      [惊讶],[不满],[呼吸]                               3
547      [鼓掌],[哼唱]                                    3
548      [清嗓],[打喷嚏]                                   3
549      [哼唱],[吸鼻]                                    3
550      [惊讶],[叹气],[不满]                               3
551      [叹气],[惊讶],[呼吸]                               3
552      [倒吸气],[打喷嚏],[咂嘴]                             3
553      [打鼾],[嘘声],[打喷嚏]                              3
554      [嘶声],[呻吟],[嘘声]                               3
555      [呻吟],[哈欠],[倒吸气]                              3
556      [打喷嚏],[嘶声],[咂嘴]                              3
557      [嘘声],[吹口哨],[哈欠]                              3
558      [倒吸气],[嘘声],[嘶声]                              3
559      [呻吟],[吹口哨],[打喷嚏]                             3
560      [打鼾],[哈欠],[咂嘴]                               3
561      [呻吟],[吹口哨],[嘘声]                              3
562      [哼唱],[嘶声],[呻吟]                               3
563      [哼唱],[吹口哨],[嘘声]                              3
564      [呻吟],[哼唱],[嘘声]                               3
565      [哈欠],[咂嘴],[吹口哨]                              3
566      [打喷嚏],[咂嘴],[吹口哨]                             3
567      [吹口哨],[打喷嚏],[哈欠]                             3
568      [打鼾],[呻吟],[打喷嚏]                              3
569      [吹口哨],[哼唱],[倒吸气]                             3
570      [嘘声],[哼唱],[打喷嚏]                              3
571      [倒吸气],[嘘声],[哼唱]                              3
572      [嘶声],[哼唱],[打鼾]                               3
573      [嘘声],[倒吸气],[吹口哨]                             3
574      [嘘声],[打鼾],[吹口哨]                              3
575      [倒吸气],[呻吟],[嘘声]                              3
576      [吹口哨],[嘘声],[咂嘴]                              3
577      [哼唱],[嘘声],[哈欠]                               3
578      [吹口哨],[呻吟],[嘘声]                              3
579      [哈欠],[打喷嚏],[哼唱]                              3
580      [哼唱],[嘘声],[呻吟]                               3
581      [吹口哨],[倒吸气],[呻吟]                             3
582      [吹口哨],[倒吸气],[哈欠]                             3
583      [打喷嚏],[打鼾],[哼唱]                              3
584      [倒吸气],[嘶声],[嘘声]                              3
585      [哈欠],[嘶声],[呻吟]                               3
586      [哼唱],[哈欠],[打喷嚏]                              3
587      [嘶声],[倒吸气],[呻吟]                              3
588      [打鼾],[倒吸气],[嘘声]                              3
589      [嘘声],[嘶声],[哈欠]                               3
590      [打喷嚏],[倒吸气],[咂嘴]                             3
591      [哈欠],[嘘声],[吹口哨]                              3
