category,count
[呼吸],66198
[惊讶],31761
[笑声],29191
[叹气],15899
[咳嗽],15212
[确认],11882
[疑问],10617
[迟疑],9897
[吸鼻],7420
[哭声],5595
[清嗓],4993
[不满],4744
[倒吸气],4142
[哈欠],3997
[嘘声],3811
[呻吟],3577
[吹口哨],3381
[打喷嚏],3270
[咂嘴],3269
[嘶声],3148
[哼唱],2570
[打鼾],2464
[打喷嚏],[嘶声],94
[呻吟],[哼唱],93
[嘶声],[嘘声],92
[嘶声],[呻吟],91
[打喷嚏],[呻吟],85
[咳嗽],[笑声],84
[打喷嚏],[嘘声],84
[倒吸气],[打喷嚏],83
[打鼾],[嘘声],83
[嘶声],[吹口哨],82
[吹口哨],[呻吟],81
[打喷嚏],[咂嘴],80
[吹口哨],[打鼾],80
[不满],[疑问],79
[哈欠],[哼唱],78
[嘶声],[打喷嚏],73
[叹气],[确认],72
[嘶声],[打鼾],71
[咳嗽],[呼吸],70
[叹气],[不满],68
[疑问],[呼吸],67
[哼唱],[哈欠],59
[哈欠],[打鼾],59
[呻吟],[打鼾],53
[打喷嚏],[打鼾],52
[疑问],[笑声],50
[打喷嚏],[哈欠],50
[疑问],[确认],47
[咳嗽],[确认],46
[惊讶],[叹气],46
[咂嘴],[嘶声],46
[不满],[确认],44
[嘶声],[哈欠],44
[不满],[惊讶],43
[惊讶],[笑声],[疑问],42
[咂嘴],[呻吟],42
[咂嘴],[哼唱],41
[嘶声],[哼唱],41
[咂嘴],[倒吸气],41
[咂嘴],[嘘声],41
[倒吸气],[哼唱],40
[疑问],[迟疑],39
[吹口哨],[哼唱],39
[咳嗽],[疑问],37
[咂嘴],[吹口哨],35
[打喷嚏],[吹口哨],32
[倒吸气],[哈欠],32
[倒吸气],[打鼾],32
[惊讶],[呼吸],[笑声],31
[呼吸],[迟疑],[确认],31
[呼吸],[笑声],[确认],31
[打喷嚏],[哼唱],30
[确认],[不满],29
[吹口哨],[哈欠],29
[惊讶],[迟疑],[疑问],28
[咂嘴],[打喷嚏],27
[笑声],[呼吸],27
[呼吸],[鼓掌],26
[咳嗽],[叹气],25
[惊讶],[咳嗽],24
[迟疑],[笑声],[呼吸],22
[惊讶],[呼吸],[疑问],22
[迟疑],[呼吸],[惊讶],21
[呼吸],[惊讶],[确认],21
[呼吸],[笑声],[惊讶],21
[嘘声],[呼吸],21
[鼓掌],[笑声],21
[疑问],[不满],20
[呼吸],[笑声],[疑问],20
[咂嘴],[打鼾],20
[惊讶],[迟疑],[确认],19
[鼓掌],[叹气],19
[笑声],[鼓掌],19
[咂嘴],[哈欠],19
[迟疑],[呼吸],[笑声],18
[惊讶],[笑声],[确认],18
[鼓掌],[呼吸],18
[惊讶],[确认],[疑问],17
[迟疑],[笑声],[惊讶],16
[惊讶],[迟疑],[呼吸],16
[叹气],[迟疑],[惊讶],16
[吹口哨],[鼓掌],16
[哈欠],[倒吸气],[咂嘴],16
[惊讶],[笑声],[呼吸],15
[咳嗽],[不满],15
[惊讶],[迟疑],[笑声],15
[叹气],[鼓掌],15
[呼吸],[确认],[惊讶],14
[迟疑],[笑声],[确认],14
[迟疑],[惊讶],[呼吸],14
[笑声],[叹气],14
[迟疑],[疑问],[惊讶],13
[迟疑],[惊讶],[笑声],13
[笑声],[确认],[惊讶],13
[惊讶],[呼吸],[迟疑],13
[迟疑],[确认],[惊讶],13
[鼓掌],[清嗓],13
[呼吸],[吸鼻],13
[叹气],[呼吸],[不满],13
[哼唱],[倒吸气],[咂嘴],13
[呻吟],[打喷嚏],[倒吸气],13
[呼吸],[惊讶],[疑问],12
[呼吸],[迟疑],[惊讶],12
[迟疑],[惊讶],[疑问],12
[呼吸],[迟疑],[疑问],12
[迟疑],[笑声],[不满],12
[呼吸],[确认],[疑问],12
[叹气],[呼吸],[笑声],12
[笑声],[嘶声],12
[吸鼻],[呼吸],12
[清嗓],[鼓掌],12
[疑问],[叹气],12
[呻吟],[笑声],12
[哼唱],[倒吸气],[嘶声],12
[哈欠],[倒吸气],[嘘声],12
[叹气],[呼吸],[确认],11
[迟疑],[惊讶],[确认],11
[打喷嚏],[呼吸],11
[哼唱],[鼓掌],11
[哈欠],[呻吟],[吹口哨],11
[哼唱],[打喷嚏],[倒吸气],11
[迟疑],[笑声],[疑问],10
[叹气],[惊讶],[迟疑],10
[疑问],[迟疑],[惊讶],10
[清嗓],[咂嘴],10
[呼吸],[呻吟],10
[咂嘴],[清嗓],10
[吸鼻],[鼓掌],10
[哼唱],[咂嘴],[吹口哨],10
[哈欠],[倒吸气],[吹口哨],10
[哈欠],[嘶声],[倒吸气],10
[哼唱],[吹口哨],[打喷嚏],10
[哈欠],[打喷嚏],[倒吸气],10
[打鼾],[嘶声],[打喷嚏],10
[哈欠],[哼唱],[吹口哨],10
[哈欠],[嘶声],[咂嘴],10
[笑声],[呼吸],[迟疑],9
[叹气],[迟疑],[笑声],9
[迟疑],[确认],[疑问],9
[确认],[迟疑],[呼吸],9
[呼吸],[哭声],9
[呼吸],[打喷嚏],9
[哈欠],[呻吟],[倒吸气],9
[打鼾],[倒吸气],[吹口哨],9
[呻吟],[嘘声],[倒吸气],9
[哼唱],[倒吸气],[呻吟],9
[哼唱],[嘶声],[倒吸气],9
[打鼾],[嘶声],[倒吸气],9
[嘘声],[嘶声],[呻吟],9
[嘘声],[嘶声],[吹口哨],9
[打鼾],[倒吸气],[呻吟],9
[哈欠],[打喷嚏],[吹口哨],9
[打鼾],[嘶声],[呻吟],9
[呼吸],[疑问],[惊讶],8
[笑声],[咳嗽],8
[呼吸],[清嗓],8
[呻吟],[呼吸],8
[嘶声],[笑声],8
[呼吸],[叹气],8
[呼吸],[哼唱],8
[清嗓],[笑声],8
[叹气],[迟疑],[呼吸],8
[嘘声],[迟疑],8
[叹气],[迟疑],[疑问],8
[哼唱],[呼吸],8
[笑声],[呻吟],8
[呼吸],[咳嗽],8
[嘶声],[呻吟],[吹口哨],8
[打鼾],[咂嘴],[吹口哨],8
[吹口哨],[倒吸气],[咂嘴],8
[嘘声],[打喷嚏],[咂嘴],8
[哈欠],[嘶声],[吹口哨],8
[打鼾],[打喷嚏],[呻吟],8
[打鼾],[倒吸气],[嘶声],8
[哈欠],[哼唱],[咂嘴],8
[打鼾],[哼唱],[吹口哨],8
[哼唱],[吹口哨],[嘶声],8
[哈欠],[呻吟],[嘶声],8
[哈欠],[呻吟],[嘘声],8
[叹气],[呼吸],[惊讶],7
[叹气],[呼吸],[迟疑],7
[清嗓],[呼吸],7
[笑声],[清嗓],7
[咳嗽],[迟疑],[惊讶],7
[叹气],[惊讶],[疑问],7
[鼓掌],[吹口哨],7
[哼唱],[打喷嚏],[呻吟],7
[呻吟],[哼唱],[打喷嚏],7
[倒吸气],[嘘声],[呻吟],7
[嘘声],[嘶声],[倒吸气],7
[哈欠],[咂嘴],[嘶声],7
[嘘声],[哈欠],[打鼾],7
[哈欠],[呻吟],[咂嘴],7
[哈欠],[咂嘴],[倒吸气],7
[呻吟],[哼唱],[倒吸气],7
[嘘声],[吹口哨],[咂嘴],7
[嘘声],[哼唱],[倒吸气],7
[嘘声],[哈欠],[打喷嚏],7
[打鼾],[呻吟],[倒吸气],7
[打鼾],[吹口哨],[嘶声],7
[打鼾],[吹口哨],[打喷嚏],7
[吹口哨],[打喷嚏],[咂嘴],7
[呻吟],[嘘声],[哈欠],7
[打鼾],[打喷嚏],[吹口哨],7
[哈欠],[哼唱],[打喷嚏],7
[打鼾],[哼唱],[倒吸气],7
[呻吟],[打喷嚏],[吹口哨],7
[打鼾],[呻吟],[嘘声],7
[哼唱],[倒吸气],[吹口哨],7
[嘘声],[倒吸气],[咂嘴],7
[呻吟],[哼唱],[咂嘴],7
[打鼾],[倒吸气],[咂嘴],7
[打鼾],[呻吟],[哈欠],7
[哼唱],[呻吟],[吹口哨],7
[哼唱],[呻吟],[嘶声],7
[哼唱],[嘶声],[吹口哨],7
[呼吸],[不满],[确认],6
[叹气],[呼吸],[疑问],6
[迟疑],[呼吸],[疑问],6
[嘘声],[惊讶],6
[呼吸],[咂嘴],6
[打喷嚏],[鼓掌],6
[咳嗽],[吸鼻],6
[吸鼻],[咳嗽],6
[惊讶],[不满],[疑问],6
[惊讶],[叹气],[迟疑],6
[咳嗽],[迟疑],[笑声],6
[嘶声],[呼吸],6
[呻吟],[叹气],6
[鼓掌],[咂嘴],6
[打鼾],[呻吟],[吹口哨],6
[哼唱],[打喷嚏],[嘶声],6
[嘶声],[倒吸气],[咂嘴],6
[哼唱],[打鼾],[打喷嚏],6
[呻吟],[倒吸气],[吹口哨],6
[打鼾],[嘶声],[吹口哨],6
[吹口哨],[嘶声],[咂嘴],6
[打鼾],[嘘声],[嘶声],6
[吹口哨],[呻吟],[咂嘴],6
[倒吸气],[吹口哨],[咂嘴],6
[打鼾],[哈欠],[嘘声],6
[打鼾],[哈欠],[倒吸气],6
[哈欠],[哼唱],[倒吸气],6
[嘘声],[嘶声],[咂嘴],6
[嘘声],[吹口哨],[嘶声],6
[哼唱],[打喷嚏],[吹口哨],6
[哈欠],[嘶声],[哼唱],6
[打鼾],[呻吟],[嘶声],6
[呻吟],[嘘声],[咂嘴],6
[呻吟],[嘶声],[哼唱],6
[打鼾],[吹口哨],[倒吸气],6
[哼唱],[倒吸气],[打鼾],6
[呻吟],[哈欠],[打喷嚏],6
[打鼾],[哈欠],[吹口哨],6
[嘘声],[哼唱],[吹口哨],6
[呻吟],[打喷嚏],[咂嘴],6
[笑声],[呼吸],[惊讶],5
[叹气],[惊讶],[确认],5
[惊讶],[嘘声],5
[打喷嚏],[咳嗽],5
[鼓掌],[吸鼻],5
[呼吸],[笑声],[鼓掌],5
[呻吟],[嘶声],[吹口哨],5
[咳嗽],[惊讶],[迟疑],5
[嘘声],[疑问],5
[叹气],[迟疑],[确认],5
[笑声],[惊讶],[迟疑],5
[咳嗽],[打喷嚏],5
[打喷嚏],[叹气],5
[笑声],[吹口哨],5
[呼吸],[嘶声],5
[呻吟],[倒吸气],[咂嘴],5
[打鼾],[嘶声],[哼唱],5
[呻吟],[打喷嚏],[打鼾],5
[哈欠],[吹口哨],[打喷嚏],5
[嘘声],[哈欠],[咂嘴],5
[倒吸气],[嘶声],[咂嘴],5
[倒吸气],[嘘声],[咂嘴],5
[呻吟],[嘶声],[咂嘴],5
[嘘声],[打喷嚏],[倒吸气],5
[哼唱],[打喷嚏],[咂嘴],5
[哈欠],[打喷嚏],[嘘声],5
[哈欠],[倒吸气],[打喷嚏],5
[哈欠],[哼唱],[嘶声],5
[打鼾],[打喷嚏],[倒吸气],5
[哼唱],[吹口哨],[打鼾],5
[哈欠],[打喷嚏],[咂嘴],5
[嘘声],[呻吟],[倒吸气],5
[哼唱],[吹口哨],[倒吸气],5
[呻吟],[吹口哨],[咂嘴],5
[打鼾],[倒吸气],[哼唱],5
[打喷嚏],[呻吟],[咂嘴],5
[嘶声],[呻吟],[打鼾],5
[打鼾],[呻吟],[哼唱],5
[嘘声],[哼唱],[嘶声],5
[倒吸气],[打喷嚏],[呻吟],5
[呻吟],[嘘声],[打喷嚏],5
[吹口哨],[打喷嚏],[呻吟],5
[哼唱],[嘶声],[咂嘴],5
[哼唱],[打鼾],[倒吸气],5
[嘘声],[倒吸气],[嘶声],5
[哼唱],[呻吟],[打鼾],5
[倒吸气],[呻吟],[咂嘴],5
[嘘声],[呻吟],[哈欠],5
[吹口哨],[打喷嚏],[打鼾],5
[嘘声],[哼唱],[咂嘴],5
[打鼾],[哼唱],[打喷嚏],5
[嘘声],[打鼾],[倒吸气],5
[嘘声],[倒吸气],[打喷嚏],5
[吹口哨],[嘶声],[打喷嚏],5
[嘘声],[吹口哨],[打鼾],5
[哼唱],[嘘声],[打喷嚏],5
[哈欠],[打喷嚏],[嘶声],5
[哈欠],[嘘声],[倒吸气],5
[哈欠],[嘘声],[咂嘴],5
[哼唱],[嘘声],[嘶声],5
[呻吟],[咂嘴],[吹口哨],5
[打鼾],[打喷嚏],[咂嘴],5
[呻吟],[打喷嚏],[嘘声],5
[嘘声],[打鼾],[嘶声],5
[叹气],[确认],[惊讶],4
[叹气],[惊讶],[笑声],4
[疑问],[笑声],[惊讶],4
[叹气],[不满],[惊讶],4
[迟疑],[不满],[惊讶],4
[叹气],[笑声],[不满],4
[确认],[惊讶],[呼吸],4
[咂嘴],[呼吸],4
[叹气],[吹口哨],4
[鼓掌],[打喷嚏],4
[呻吟],[吹口哨],[嘶声],4
[叹气],[呻吟],4
[吹口哨],[吸鼻],4
[吹口哨],[叹气],4
[哭声],[惊讶],4
[惊讶],[呼吸],[不满],4
[咳嗽],[呼吸],[笑声],4
[叹气],[笑声],[疑问],4
[哼唱],[咂嘴],[笑声],4
[吹口哨],[呼吸],4
[笑声],[鼓掌],[呼吸],4
[呼吸],[鼓掌],[笑声],4
[吹口哨],[打喷嚏],[笑声],4
[叹气],[咳嗽],4
[惊讶],[笑声],[不满],4
[叹气],[不满],[确认],4
[咂嘴],[鼓掌],4
[吹口哨],[呻吟],[嘶声],4
[叹气],[打喷嚏],4
[呼吸],[吹口哨],4
[疑问],[迟疑],[确认],4
[叹气],[笑声],[确认],4
[呼吸],[惊讶],[不满],4
[呻吟],[嘶声],[倒吸气],4
[哼唱],[嘘声],[打鼾],4
[打鼾],[哈欠],[打喷嚏],4
[呻吟],[吹口哨],[倒吸气],4
[呻吟],[打喷嚏],[嘶声],4
[打鼾],[嘘声],[咂嘴],4
[倒吸气],[咂嘴],[吹口哨],4
[嘘声],[呻吟],[吹口哨],4
[哈欠],[嘶声],[嘘声],4
[嘶声],[吹口哨],[倒吸气],4
[嘘声],[打鼾],[咂嘴],4
[哼唱],[吹口哨],[哈欠],4
[哈欠],[倒吸气],[呻吟],4
[哈欠],[吹口哨],[倒吸气],4
[吹口哨],[嘶声],[倒吸气],4
[嘘声],[咂嘴],[呻吟],4
[打鼾],[打喷嚏],[嘶声],4
[哼唱],[打鼾],[呻吟],4
[呻吟],[打鼾],[嘶声],4
[打喷嚏],[倒吸气],[打鼾],4
[打鼾],[倒吸气],[哈欠],4
[呻吟],[打喷嚏],[哼唱],4
[吹口哨],[哈欠],[打鼾],4
[嘶声],[打喷嚏],[打鼾],4
[哼唱],[嘘声],[咂嘴],4
[打喷嚏],[倒吸气],[嘶声],4
[呻吟],[打鼾],[咂嘴],4
[哼唱],[倒吸气],[打喷嚏],4
[吹口哨],[打鼾],[哈欠],4
[哼唱],[呻吟],[嘘声],4
[倒吸气],[嘶声],[呻吟],4
[打鼾],[吹口哨],[哼唱],4
[呻吟],[打鼾],[吹口哨],4
[哼唱],[咂嘴],[嘘声],4
[嘶声],[打鼾],[哼唱],4
[吹口哨],[哼唱],[打鼾],4
[嘘声],[吹口哨],[倒吸气],4
[呻吟],[嘘声],[打鼾],4
[嘘声],[吹口哨],[打喷嚏],4
[哈欠],[嘘声],[打喷嚏],4
[嘘声],[哈欠],[倒吸气],4
[呻吟],[哼唱],[吹口哨],4
[呻吟],[倒吸气],[打喷嚏],4
[打鼾],[呻吟],[咂嘴],4
[打鼾],[哼唱],[咂嘴],4
[打鼾],[倒吸气],[打喷嚏],4
[打鼾],[吹口哨],[咂嘴],4
[吹口哨],[哼唱],[呻吟],4
[哈欠],[打鼾],[哼唱],4
[哈欠],[哼唱],[打鼾],4
[嘶声],[吹口哨],[打喷嚏],4
[打鼾],[嘘声],[吹口哨],4
[哼唱],[打鼾],[咂嘴],4
[吹口哨],[嘘声],[嘶声],4
[哼唱],[嘘声],[倒吸气],4
[哈欠],[倒吸气],[嘶声],4
[打喷嚏],[倒吸气],[呻吟],4
[吹口哨],[倒吸气],[打喷嚏],4
[嘘声],[打喷嚏],[呻吟],4
[哼唱],[嘶声],[打喷嚏],4
[哼唱],[倒吸气],[嘘声],4
[打喷嚏],[嘶声],[吹口哨],4
[嘘声],[打鼾],[哈欠],4
[哭声],[笑声],3
[咳嗽],[惊讶],[笑声],3
[惊讶],[疑问],[确认],3
[确认],[呼吸],[不满],3
[确认],[惊讶],[迟疑],[呼吸],3
[笑声],[迟疑],[惊讶],3
[确认],[迟疑],[疑问],3
[叹气],[笑声],[惊讶],3
[疑问],[惊讶],[呼吸],3
[叹气],[嘘声],3
[咳嗽],[惊讶],[疑问],3
[不满],[笑声],[确认],3
[嘶声],[咳嗽],3
[笑声],[哼唱],3
[哼唱],[吹口哨],[咂嘴],3
[咂嘴],[笑声],3
[叹气],[咂嘴],3
[吹口哨],[笑声],3
[叹气],[清嗓],3
[咳嗽],[迟疑],[确认],3
[咳嗽],[迟疑],[疑问],3
[惊讶],[疑问],[迟疑],[呼吸],3
[咳嗽],[鼓掌],3
[咂嘴],[笑声],[哼唱],3
[哼唱],[咳嗽],3
[吸鼻],[吹口哨],3
[笑声],[打喷嚏],3
[清嗓],[嘶声],3
[哼唱],[鼓掌],[吸鼻],3
[吸鼻],[鼓掌],[哼唱],3
[吸鼻],[嘶声],3
[呼吸],[咂嘴],[哼唱],3
[迟疑],[惊讶],[不满],3
[迟疑],[不满],[呼吸],3
[咳嗽],[确认],[疑问],3
[嘘声],[确认],3
[叹气],[惊讶],[不满],3
[叹气],[疑问],[惊讶],3
[鼓掌],[呻吟],3
[呻吟],[咳嗽],3
[笑声],[吸鼻],3
[鼓掌],[笑声],[呼吸],3
[咂嘴],[咳嗽],3
[笑声],[哼唱],[咂嘴],3
[呼吸],[迟疑],[不满],3
[惊讶],[不满],[呼吸],3
[鼓掌],[哼唱],3
[清嗓],[打喷嚏],3
[哼唱],[吸鼻],3
[惊讶],[叹气],[不满],3
[叹气],[惊讶],[呼吸],3
[倒吸气],[打喷嚏],[咂嘴],3
[打鼾],[嘘声],[打喷嚏],3
[嘶声],[呻吟],[嘘声],3
[呻吟],[哈欠],[倒吸气],3
[打喷嚏],[嘶声],[咂嘴],3
[嘘声],[吹口哨],[哈欠],3
[倒吸气],[嘘声],[嘶声],3
[呻吟],[吹口哨],[打喷嚏],3
[打鼾],[哈欠],[咂嘴],3
[呻吟],[吹口哨],[嘘声],3
[哼唱],[嘶声],[呻吟],3
[哼唱],[吹口哨],[嘘声],3
[呻吟],[哼唱],[嘘声],3
[哈欠],[咂嘴],[吹口哨],3
[打喷嚏],[咂嘴],[吹口哨],3
[吹口哨],[打喷嚏],[哈欠],3
[打鼾],[呻吟],[打喷嚏],3
[吹口哨],[哼唱],[倒吸气],3
[嘘声],[哼唱],[打喷嚏],3
[倒吸气],[嘘声],[哼唱],3
[嘶声],[哼唱],[打鼾],3
[嘘声],[倒吸气],[吹口哨],3
[嘘声],[打鼾],[吹口哨],3
[倒吸气],[呻吟],[嘘声],3
[吹口哨],[嘘声],[咂嘴],3
[哼唱],[嘘声],[哈欠],3
[吹口哨],[呻吟],[嘘声],3
[哈欠],[打喷嚏],[哼唱],3
[哼唱],[嘘声],[呻吟],3
[吹口哨],[倒吸气],[呻吟],3
[吹口哨],[倒吸气],[哈欠],3
[打喷嚏],[打鼾],[哼唱],3
[倒吸气],[嘶声],[嘘声],3
[哈欠],[嘶声],[呻吟],3
[哼唱],[哈欠],[打喷嚏],3
[嘶声],[倒吸气],[呻吟],3
[打鼾],[倒吸气],[嘘声],3
[嘘声],[嘶声],[哈欠],3
[打喷嚏],[倒吸气],[咂嘴],3
[哈欠],[嘘声],[吹口哨],3
[倒吸气],[呻吟],[吹口哨],3
[打喷嚏],[哈欠],[哼唱],3
[打鼾],[打喷嚏],[哈欠],3
[吹口哨],[咂嘴],[呻吟],3
[吹口哨],[嘶声],[呻吟],3
[吹口哨],[打鼾],[呻吟],3
[嘘声],[打鼾],[打喷嚏],3
[哈欠],[呻吟],[打喷嚏],3
[嘶声],[打鼾],[哈欠],3
[打鼾],[哼唱],[嘘声],3
[哼唱],[呻吟],[倒吸气],3
[嘘声],[倒吸气],[呻吟],3
[哈欠],[打鼾],[倒吸气],3
[打鼾],[打喷嚏],[哼唱],3
[嘘声],[嘶声],[打鼾],3
[哈欠],[嘘声],[嘶声],3
[倒吸气],[打喷嚏],[嘘声],3
[嘘声],[咂嘴],[哈欠],3
[哈欠],[吹口哨],[咂嘴],3
[打喷嚏],[嘶声],[倒吸气],3
[呻吟],[哈欠],[咂嘴],3
[哼唱],[打鼾],[嘶声],3
[嘶声],[倒吸气],[嘘声],3
[吹口哨],[嘶声],[打鼾],3
[倒吸气],[哼唱],[咂嘴],3
[呻吟],[嘘声],[吹口哨],3
[嘶声],[打鼾],[倒吸气],3
[吹口哨],[倒吸气],[嘶声],3
[嘘声],[呻吟],[打鼾],3
[嘘声],[咂嘴],[打鼾],3
[打鼾],[咂嘴],[嘶声],3
[哼唱],[打喷嚏],[嘘声],3
[嘶声],[打喷嚏],[吹口哨],3
[哼唱],[咂嘴],[呻吟],3
[哈欠],[吹口哨],[嘘声],3
[倒吸气],[嘶声],[吹口哨],3
[哼唱],[打喷嚏],[打鼾],3
[打鼾],[哼唱],[呻吟],3
[打鼾],[嘘声],[呻吟],3
[嘘声],[呻吟],[打喷嚏],3
[嘶声],[呻吟],[哼唱],3
[倒吸气],[咂嘴],[呻吟],3
[呻吟],[哈欠],[哼唱],3
[吹口哨],[咂嘴],[嘶声],3
[呻吟],[嘘声],[嘶声],3
[吹口哨],[打喷嚏],[嘶声],3
[哈欠],[倒吸气],[打鼾],3
[嘘声],[打鼾],[哼唱],3
[咳嗽],[迟疑],[呼吸],2
[确认],[笑声],[疑问],2
[笑声],[疑问],[迟疑],2
[惊讶],[疑问],[迟疑],[笑声],2
[惊讶],[笑声],[确认],[疑问],2
[迟疑],[惊讶],[笑声],[疑问],2
[确认],[呼吸],[疑问],2
[咳嗽],[疑问],[惊讶],2
[咳嗽],[叹气],[迟疑],2
[嘶声],[呼吸],[吹口哨],2
[笑声],[吹口哨],[打喷嚏],2
[鼓掌],[吸鼻],[哼唱],2
[呻吟],[笑声],[吹口哨],2
[呻吟],[嘶声],[呼吸],2
[吸鼻],[鼓掌],[呼吸],2
[清嗓],[叹气],2
[哼唱],[笑声],[咂嘴],2
[哼唱],[咳嗽],[鼓掌],2
[吸鼻],[清嗓],[打喷嚏],2
[嘶声],[吸鼻],2
[嘶声],[清嗓],2
[嘶声],[吹口哨],[呻吟],2
[吸鼻],[吹口哨],[鼓掌],2
[打喷嚏],[笑声],2
[笑声],[吹口哨],[呻吟],2
[吹口哨],[鼓掌],[吸鼻],2
[笑声],[呼吸],[鼓掌],2
[哼唱],[咂嘴],[呼吸],2
[笑声],[打喷嚏],[咳嗽],2
[鼓掌],[咳嗽],[哼唱],2
[呼吸],[哼唱],[打喷嚏],2
[吸鼻],[呼吸],[鼓掌],2
[哼唱],[呻吟],[打喷嚏],2
[咳嗽],[呻吟],2
[鼓掌],[哼唱],[呼吸],2
[吹口哨],[呻吟],[笑声],2
[吹口哨],[鼓掌],[呻吟],2
[呼吸],[不满],[疑问],2
[叹气],[疑问],[笑声],2
[咳嗽],[呼吸],[惊讶],2
[笑声],[确认],[疑问],2
[呼吸],[笑声],[不满],2
[确认],[惊讶],[疑问],2
[叹气],[不满],[疑问],2
[迟疑],[不满],[疑问],2
[疑问],[迟疑],[呼吸],2
[咳嗽],[笑声],[惊讶],2
[叹气],[迟疑],[不满],2
[叹气],[确认],[疑问],2
[疑问],[叹气],[迟疑],2
[叹气],[迟疑],[确认],[惊讶],2
[惊讶],[疑问],[笑声],2
[咳嗽],[迟疑],[惊讶],[笑声],2
[笑声],[不满],[疑问],2
[咳嗽],[哭声],2
[鼓掌],[咳嗽],[吹口哨],2
[咳嗽],[哼唱],2
[呼吸],[呻吟],[清嗓],2
[呼吸],[鼓掌],[哼唱],2
[咳嗽],[笑声],[打喷嚏],2
[吹口哨],[咳嗽],[鼓掌],2
[笑声],[吹口哨],[鼓掌],2
[嘶声],[吹口哨],[呼吸],2
[哼唱],[呼吸],[鼓掌],2
[吸鼻],[笑声],2
[呻吟],[鼓掌],[打喷嚏],2
[鼓掌],[咳嗽],2
[清嗓],[呼吸],[哼唱],2
[鼓掌],[呼吸],[吸鼻],2
[哼唱],[清嗓],2
[嘘声],[笑声],2
[疑问],[咳嗽],2
[惊讶],[疑问],[迟疑],2
[疑问],[呼吸],[笑声],2
[迟疑],[惊讶],[呼吸],[疑问],2
[吸鼻],[哼唱],2
[呻吟],[鼓掌],2
[笑声],[咂嘴],2
[鼓掌],[吸鼻],[吹口哨],2
[叹气],[吹口哨],[鼓掌],2
[咂嘴],[叹气],2
[吹口哨],[叹气],[鼓掌],2
[鼓掌],[吹口哨],[吸鼻],2
[打喷嚏],[呻吟],[哼唱],2
[哼唱],[吹口哨],[笑声],2
[鼓掌],[呼吸],[哼唱],2
[打喷嚏],[哼唱],[呻吟],2
[咳嗽],[打喷嚏],[笑声],2
[吹口哨],[笑声],[打喷嚏],2
[呻吟],[吹口哨],[笑声],2
[鼓掌],[呼吸],[笑声],2
[哼唱],[笑声],2
[咂嘴],[呼吸],[哼唱],2
[咳嗽],[哼唱],[鼓掌],2
[叹气],[迟疑],[笑声],[不满],2
