# VoxCPM 非语言声音类别完整列表

总数据量: 273,424 条
120    [吹口哨],[打鼾]                                  80
121    [不满],[疑问]                                   79
122    [哈欠],[哼唱]                                   78
123    [嘶声],[打喷嚏]                                  73
124    [叹气],[确认]                                   72
125    [嘶声],[打鼾]                                   71
126    [咳嗽],[呼吸]                                   70
127    [叹气],[不满]                                   68
128    [疑问],[呼吸]                                   67
129    [哼唱],[哈欠]                                   59
130    [哈欠],[打鼾]                                   59
131    [呻吟],[打鼾]                                   53
132    [打喷嚏],[打鼾]                                  52
133    [疑问],[笑声]                                   50
134    [打喷嚏],[哈欠]                                  50
135    [疑问],[确认]                                   47
136    [咳嗽],[确认]                                   46
137    [惊讶],[叹气]                                   46
138    [咂嘴],[嘶声]                                   46
139    [不满],[确认]                                   44
140    [嘶声],[哈欠]                                   44
141    [不满],[惊讶]                                   43
142    [惊讶],[笑声],[疑问]                              42
143    [咂嘴],[呻吟]                                   42
144    [咂嘴],[哼唱]                                   41
145    [嘶声],[哼唱]                                   41
146    [咂嘴],[倒吸气]                                  41
147    [咂嘴],[嘘声]                                   41
148    [倒吸气],[哼唱]                                  40
149    [疑问],[迟疑]                                   39
150    [吹口哨],[哼唱]                                  39
151    [咳嗽],[疑问]                                   37
152    [咂嘴],[吹口哨]                                  35
153    [打喷嚏],[吹口哨]                                 32
154    [倒吸气],[哈欠]                                  32
155    [倒吸气],[打鼾]                                  32
156    [惊讶],[呼吸],[笑声]                              31
157    [呼吸],[迟疑],[确认]                              31
158    [呼吸],[笑声],[确认]                              31
159    [打喷嚏],[哼唱]                                  30
160    [确认],[不满]                                   29
161    [吹口哨],[哈欠]                                  29
162    [惊讶],[迟疑],[疑问]                              28
163    [咂嘴],[打喷嚏]                                  27
164    [笑声],[呼吸]                                   27
165    [呼吸],[鼓掌]                                   26
166    [咳嗽],[叹气]                                   25
167    [惊讶],[咳嗽]                                   24
168    [迟疑],[笑声],[呼吸]                              22
169    [惊讶],[呼吸],[疑问]                              22
170    [迟疑],[呼吸],[惊讶]                              21
171    [呼吸],[惊讶],[确认]                              21
172    [呼吸],[笑声],[惊讶]                              21
173    [嘘声],[呼吸]                                   21
174    [鼓掌],[笑声]                                   21
175    [疑问],[不满]                                   20
176    [呼吸],[笑声],[疑问]                              20
177    [咂嘴],[打鼾]                                   20
178    [惊讶],[迟疑],[确认]                              19
179    [鼓掌],[叹气]                                   19
180    [笑声],[鼓掌]                                   19
181    [咂嘴],[哈欠]                                   19
182    [迟疑],[呼吸],[笑声]                              18
183    [惊讶],[笑声],[确认]                              18
184    [鼓掌],[呼吸]                                   18
185    [惊讶],[确认],[疑问]                              17
186    [迟疑],[笑声],[惊讶]                              16
187    [惊讶],[迟疑],[呼吸]                              16
188    [叹气],[迟疑],[惊讶]                              16
189    [吹口哨],[鼓掌]                                  16
190    [哈欠],[倒吸气],[咂嘴]                             16
191    [惊讶],[笑声],[呼吸]                              15
192    [咳嗽],[不满]                                   15
193    [惊讶],[迟疑],[笑声]                              15
194    [叹气],[鼓掌]                                   15
195    [呼吸],[确认],[惊讶]                              14
196    [迟疑],[笑声],[确认]                              14
197    [迟疑],[惊讶],[呼吸]                              14
198    [笑声],[叹气]                                   14
199    [迟疑],[疑问],[惊讶]                              13
200    [迟疑],[惊讶],[笑声]                              13
201    [笑声],[确认],[惊讶]                              13
202    [惊讶],[呼吸],[迟疑]                              13
203    [迟疑],[确认],[惊讶]                              13
204    [鼓掌],[清嗓]                                   13
205    [呼吸],[吸鼻]                                   13
206    [叹气],[呼吸],[不满]                              13
207    [哼唱],[倒吸气],[咂嘴]                             13
208    [呻吟],[打喷嚏],[倒吸气]                            13
209    [呼吸],[惊讶],[疑问]                              12
210    [呼吸],[迟疑],[惊讶]                              12
211    [迟疑],[惊讶],[疑问]                              12
212    [呼吸],[迟疑],[疑问]                              12
213    [迟疑],[笑声],[不满]                              12
214    [呼吸],[确认],[疑问]                              12
215    [叹气],[呼吸],[笑声]                              12
216    [笑声],[嘶声]                                   12
217    [吸鼻],[呼吸]                                   12
218    [清嗓],[鼓掌]                                   12
219    [疑问],[叹气]                                   12
220    [呻吟],[笑声]                                   12
221    [哼唱],[倒吸气],[嘶声]                             12
222    [哈欠],[倒吸气],[嘘声]                             12
223    [叹气],[呼吸],[确认]                              11
224    [迟疑],[惊讶],[确认]                              11
225    [打喷嚏],[呼吸]                                  11
226    [哼唱],[鼓掌]                                   11
227    [哈欠],[呻吟],[吹口哨]                             11
228    [哼唱],[打喷嚏],[倒吸气]                            11
229    [迟疑],[笑声],[疑问]                              10
230    [叹气],[惊讶],[迟疑]                              10
231    [疑问],[迟疑],[惊讶]                              10
232    [清嗓],[咂嘴]                                   10
233    [呼吸],[呻吟]                                   10
234    [咂嘴],[清嗓]                                   10
235    [吸鼻],[鼓掌]                                   10
236    [哼唱],[咂嘴],[吹口哨]                             10
237    [哈欠],[倒吸气],[吹口哨]                            10
238    [哈欠],[嘶声],[倒吸气]                             10
239    [哼唱],[吹口哨],[打喷嚏]                            10
240    [哈欠],[打喷嚏],[倒吸气]                            10
241    [打鼾],[嘶声],[打喷嚏]                             10
242    [哈欠],[哼唱],[吹口哨]                             10
243    [哈欠],[嘶声],[咂嘴]                              10
244    [笑声],[呼吸],[迟疑]                               9
245    [叹气],[迟疑],[笑声]                               9
246    [迟疑],[确认],[疑问]                               9
247    [确认],[迟疑],[呼吸]                               9
248    [呼吸],[哭声]                                    9
249    [呼吸],[打喷嚏]                                   9
250    [哈欠],[呻吟],[倒吸气]                              9
251    [打鼾],[倒吸气],[吹口哨]                             9
252    [呻吟],[嘘声],[倒吸气]                              9
253    [哼唱],[倒吸气],[呻吟]                              9
254    [哼唱],[嘶声],[倒吸气]                              9
255    [打鼾],[嘶声],[倒吸气]                              9
256    [嘘声],[嘶声],[呻吟]                               9
257    [嘘声],[嘶声],[吹口哨]                              9
258    [打鼾],[倒吸气],[呻吟]                              9
259    [哈欠],[打喷嚏],[吹口哨]                             9
260    [打鼾],[嘶声],[呻吟]                               9
261    [呼吸],[疑问],[惊讶]                               8
262    [笑声],[咳嗽]                                    8
263    [呼吸],[清嗓]                                    8
264    [呻吟],[呼吸]                                    8
265    [嘶声],[笑声]                                    8
266    [呼吸],[叹气]                                    8
267    [呼吸],[哼唱]                                    8
268    [清嗓],[笑声]                                    8
269    [叹气],[迟疑],[呼吸]                               8
270    [嘘声],[迟疑]                                    8
271    [叹气],[迟疑],[疑问]                               8
272    [哼唱],[呼吸]                                    8
273    [笑声],[呻吟]                                    8
274    [呼吸],[咳嗽]                                    8
275    [嘶声],[呻吟],[吹口哨]                              8
276    [打鼾],[咂嘴],[吹口哨]                              8
277    [吹口哨],[倒吸气],[咂嘴]                             8
278    [嘘声],[打喷嚏],[咂嘴]                              8
279    [哈欠],[嘶声],[吹口哨]                              8
280    [打鼾],[打喷嚏],[呻吟]                              8
281    [打鼾],[倒吸气],[嘶声]                              8
282    [哈欠],[哼唱],[咂嘴]                               8
283    [打鼾],[哼唱],[吹口哨]                              8
284    [哼唱],[吹口哨],[嘶声]                              8
285    [哈欠],[呻吟],[嘶声]                               8
286    [哈欠],[呻吟],[嘘声]                               8
287    [叹气],[呼吸],[惊讶]                               7
288    [叹气],[呼吸],[迟疑]                               7
289    [清嗓],[呼吸]                                    7
290    [笑声],[清嗓]                                    7
291    [咳嗽],[迟疑],[惊讶]                               7
292    [叹气],[惊讶],[疑问]                               7
293    [鼓掌],[吹口哨]                                   7
294    [哼唱],[打喷嚏],[呻吟]                              7
295    [呻吟],[哼唱],[打喷嚏]                              7
296    [倒吸气],[嘘声],[呻吟]                              7
297    [嘘声],[嘶声],[倒吸气]                              7
298    [哈欠],[咂嘴],[嘶声]                               7
299    [嘘声],[哈欠],[打鼾]                               7
300    [哈欠],[呻吟],[咂嘴]                               7
301    [哈欠],[咂嘴],[倒吸气]                              7
302    [呻吟],[哼唱],[倒吸气]                              7
303    [嘘声],[吹口哨],[咂嘴]                              7
304    [嘘声],[哼唱],[倒吸气]                              7
305    [嘘声],[哈欠],[打喷嚏]                              7
306    [打鼾],[呻吟],[倒吸气]                              7
307    [打鼾],[吹口哨],[嘶声]                              7
308    [打鼾],[吹口哨],[打喷嚏]                             7
309    [吹口哨],[打喷嚏],[咂嘴]                             7
310    [呻吟],[嘘声],[哈欠]                               7
311    [打鼾],[打喷嚏],[吹口哨]                             7
312    [哈欠],[哼唱],[打喷嚏]                              7
313    [打鼾],[哼唱],[倒吸气]                              7
314    [呻吟],[打喷嚏],[吹口哨]                             7
315    [打鼾],[呻吟],[嘘声]                               7
316    [哼唱],[倒吸气],[吹口哨]                             7
317    [嘘声],[倒吸气],[咂嘴]                              7
318    [呻吟],[哼唱],[咂嘴]                               7
319    [打鼾],[倒吸气],[咂嘴]                              7
320    [打鼾],[呻吟],[哈欠]                               7
321    [哼唱],[呻吟],[吹口哨]                              7
322    [哼唱],[呻吟],[嘶声]                               7
323    [哼唱],[嘶声],[吹口哨]                              7
324    [呼吸],[不满],[确认]                               6
325    [叹气],[呼吸],[疑问]                               6
326    [迟疑],[呼吸],[疑问]                               6
327    [嘘声],[惊讶]                                    6
328    [呼吸],[咂嘴]                                    6
329    [打喷嚏],[鼓掌]                                   6
330    [咳嗽],[吸鼻]                                    6
331    [吸鼻],[咳嗽]                                    6
332    [惊讶],[不满],[疑问]                               6
333    [惊讶],[叹气],[迟疑]                               6
334    [咳嗽],[迟疑],[笑声]                               6
335    [嘶声],[呼吸]                                    6
336    [呻吟],[叹气]                                    6
337    [鼓掌],[咂嘴]                                    6
338    [打鼾],[呻吟],[吹口哨]                              6
339    [哼唱],[打喷嚏],[嘶声]                              6
340    [嘶声],[倒吸气],[咂嘴]                              6
341    [哼唱],[打鼾],[打喷嚏]                              6
342    [呻吟],[倒吸气],[吹口哨]                             6
343    [打鼾],[嘶声],[吹口哨]                              6
344    [吹口哨],[嘶声],[咂嘴]                              6
345    [打鼾],[嘘声],[嘶声]                               6
346    [吹口哨],[呻吟],[咂嘴]                              6
347    [倒吸气],[吹口哨],[咂嘴]                             6
348    [打鼾],[哈欠],[嘘声]                               6
349    [打鼾],[哈欠],[倒吸气]                              6
350    [哈欠],[哼唱],[倒吸气]                              6
351    [嘘声],[嘶声],[咂嘴]                               6
352    [嘘声],[吹口哨],[嘶声]                              6
353    [哼唱],[打喷嚏],[吹口哨]                             6
354    [哈欠],[嘶声],[哼唱]                               6
355    [打鼾],[呻吟],[嘶声]                               6
356    [呻吟],[嘘声],[咂嘴]                               6
357    [呻吟],[嘶声],[哼唱]                               6
358    [打鼾],[吹口哨],[倒吸气]                             6
359    [哼唱],[倒吸气],[打鼾]                              6
360    [呻吟],[哈欠],[打喷嚏]                              6
361    [打鼾],[哈欠],[吹口哨]                              6
362    [嘘声],[哼唱],[吹口哨]                              6
363    [呻吟],[打喷嚏],[咂嘴]                              6
364    [笑声],[呼吸],[惊讶]                               5
365    [叹气],[惊讶],[确认]                               5
366    [惊讶],[嘘声]                                    5
367    [打喷嚏],[咳嗽]                                   5
368    [鼓掌],[吸鼻]                                    5
369    [呼吸],[笑声],[鼓掌]                               5
370    [呻吟],[嘶声],[吹口哨]                              5
371    [咳嗽],[惊讶],[迟疑]                               5
372    [嘘声],[疑问]                                    5
373    [叹气],[迟疑],[确认]                               5
374    [笑声],[惊讶],[迟疑]                               5
375    [咳嗽],[打喷嚏]                                   5
376    [打喷嚏],[叹气]                                   5
377    [笑声],[吹口哨]                                   5
378    [呼吸],[嘶声]                                    5
379    [呻吟],[倒吸气],[咂嘴]                              5
380    [打鼾],[嘶声],[哼唱]                               5
381    [呻吟],[打喷嚏],[打鼾]                              5
382    [哈欠],[吹口哨],[打喷嚏]                             5
383    [嘘声],[哈欠],[咂嘴]                               5
384    [倒吸气],[嘶声],[咂嘴]                              5
385    [倒吸气],[嘘声],[咂嘴]                              5
386    [呻吟],[嘶声],[咂嘴]                               5
387    [嘘声],[打喷嚏],[倒吸气]                             5
388    [哼唱],[打喷嚏],[咂嘴]                              5
389    [哈欠],[打喷嚏],[嘘声]                              5
390    [哈欠],[倒吸气],[打喷嚏]                             5
391    [哈欠],[哼唱],[嘶声]                               5
392    [打鼾],[打喷嚏],[倒吸气]                             5
393    [哼唱],[吹口哨],[打鼾]                              5
394    [哈欠],[打喷嚏],[咂嘴]                              5
395    [嘘声],[呻吟],[倒吸气]                              5
396    [哼唱],[吹口哨],[倒吸气]                             5
397    [呻吟],[吹口哨],[咂嘴]                              5
398    [打鼾],[倒吸气],[哼唱]                              5
399    [打喷嚏],[呻吟],[咂嘴]                              5
400    [嘶声],[呻吟],[打鼾]                               5
401    [打鼾],[呻吟],[哼唱]                               5
402    [嘘声],[哼唱],[嘶声]                               5
403    [倒吸气],[打喷嚏],[呻吟]                             5
404    [呻吟],[嘘声],[打喷嚏]                              5
405    [吹口哨],[打喷嚏],[呻吟]                             5
406    [哼唱],[嘶声],[咂嘴]                               5
407    [哼唱],[打鼾],[倒吸气]                              5
408    [嘘声],[倒吸气],[嘶声]                              5
409    [哼唱],[呻吟],[打鼾]                               5
410    [倒吸气],[呻吟],[咂嘴]                              5
411    [嘘声],[呻吟],[哈欠]                               5
412    [吹口哨],[打喷嚏],[打鼾]                             5
413    [嘘声],[哼唱],[咂嘴]                               5
414    [打鼾],[哼唱],[打喷嚏]                              5
415    [嘘声],[打鼾],[倒吸气]                              5
416    [嘘声],[倒吸气],[打喷嚏]                             5
417    [吹口哨],[嘶声],[打喷嚏]                             5
418    [嘘声],[吹口哨],[打鼾]                              5
419    [哼唱],[嘘声],[打喷嚏]                              5
420    [哈欠],[打喷嚏],[嘶声]                              5
421    [哈欠],[嘘声],[倒吸气]                              5
422    [哈欠],[嘘声],[咂嘴]                               5
423    [哼唱],[嘘声],[嘶声]                               5
424    [呻吟],[咂嘴],[吹口哨]                              5
425    [打鼾],[打喷嚏],[咂嘴]                              5
426    [呻吟],[打喷嚏],[嘘声]                              5
427    [嘘声],[打鼾],[嘶声]                               5
428    [叹气],[确认],[惊讶]                               4
429    [叹气],[惊讶],[笑声]                               4
430    [疑问],[笑声],[惊讶]                               4
431    [叹气],[不满],[惊讶]                               4
432    [迟疑],[不满],[惊讶]                               4
433    [叹气],[笑声],[不满]                               4
434    [确认],[惊讶],[呼吸]                               4
435    [咂嘴],[呼吸]                                    4
436    [叹气],[吹口哨]                                   4
437    [鼓掌],[打喷嚏]                                   4
438    [呻吟],[吹口哨],[嘶声]                              4
439    [叹气],[呻吟]                                    4
440    [吹口哨],[吸鼻]                                   4
441    [吹口哨],[叹气]                                   4
442    [哭声],[惊讶]                                    4
443    [惊讶],[呼吸],[不满]                               4
444    [咳嗽],[呼吸],[笑声]                               4
445    [叹气],[笑声],[疑问]                               4
446    [哼唱],[咂嘴],[笑声]                               4
447    [吹口哨],[呼吸]                                   4
448    [笑声],[鼓掌],[呼吸]                               4
449    [呼吸],[鼓掌],[笑声]                               4
450    [吹口哨],[打喷嚏],[笑声]                             4
451    [叹气],[咳嗽]                                    4
452    [惊讶],[笑声],[不满]                               4
453    [叹气],[不满],[确认]                               4
454    [咂嘴],[鼓掌]                                    4
455    [吹口哨],[呻吟],[嘶声]                              4
456    [叹气],[打喷嚏]                                   4
457    [呼吸],[吹口哨]                                   4
458    [疑问],[迟疑],[确认]                               4
459    [叹气],[笑声],[确认]                               4
460    [呼吸],[惊讶],[不满]                               4
461    [呻吟],[嘶声],[倒吸气]                              4
462    [哼唱],[嘘声],[打鼾]                               4
463    [打鼾],[哈欠],[打喷嚏]                              4
464    [呻吟],[吹口哨],[倒吸气]                             4
465    [呻吟],[打喷嚏],[嘶声]                              4
466    [打鼾],[嘘声],[咂嘴]                               4
467    [倒吸气],[咂嘴],[吹口哨]                             4
468    [嘘声],[呻吟],[吹口哨]                              4
469    [哈欠],[嘶声],[嘘声]                               4
470    [嘶声],[吹口哨],[倒吸气]                             4
471    [嘘声],[打鼾],[咂嘴]                               4
472    [哼唱],[吹口哨],[哈欠]                              4
473    [哈欠],[倒吸气],[呻吟]                              4
474    [哈欠],[吹口哨],[倒吸气]                             4
475    [吹口哨],[嘶声],[倒吸气]                             4
476    [嘘声],[咂嘴],[呻吟]                               4
477    [打鼾],[打喷嚏],[嘶声]                              4
478    [哼唱],[打鼾],[呻吟]                               4
479    [呻吟],[打鼾],[嘶声]                               4
480    [打喷嚏],[倒吸气],[打鼾]                             4
481    [打鼾],[倒吸气],[哈欠]                              4
482    [呻吟],[打喷嚏],[哼唱]                              4
483    [吹口哨],[哈欠],[打鼾]                              4
484    [嘶声],[打喷嚏],[打鼾]                              4
485    [哼唱],[嘘声],[咂嘴]                               4
486    [打喷嚏],[倒吸气],[嘶声]                             4
487    [呻吟],[打鼾],[咂嘴]                               4
488    [哼唱],[倒吸气],[打喷嚏]                             4
489    [吹口哨],[打鼾],[哈欠]                              4
490    [哼唱],[呻吟],[嘘声]                               4
491    [倒吸气],[嘶声],[呻吟]                              4
492    [打鼾],[吹口哨],[哼唱]                              4
493    [呻吟],[打鼾],[吹口哨]                              4
494    [哼唱],[咂嘴],[嘘声]                               4
495    [嘶声],[打鼾],[哼唱]                               4
496    [吹口哨],[哼唱],[打鼾]                              4
497    [嘘声],[吹口哨],[倒吸气]                             4
498    [呻吟],[嘘声],[打鼾]                               4
499    [嘘声],[吹口哨],[打喷嚏]                             4
500    [哈欠],[嘘声],[打喷嚏]                              4
501    [嘘声],[哈欠],[倒吸气]                              4
502    [呻吟],[哼唱],[吹口哨]                              4
503    [呻吟],[倒吸气],[打喷嚏]                             4
504    [打鼾],[呻吟],[咂嘴]                               4
505    [打鼾],[哼唱],[咂嘴]                               4
506    [打鼾],[倒吸气],[打喷嚏]                             4
507    [打鼾],[吹口哨],[咂嘴]                              4
508    [吹口哨],[哼唱],[呻吟]                              4
509    [哈欠],[打鼾],[哼唱]                               4
510    [哈欠],[哼唱],[打鼾]                               4
511    [嘶声],[吹口哨],[打喷嚏]                             4
512    [打鼾],[嘘声],[吹口哨]                              4
513    [哼唱],[打鼾],[咂嘴]                               4
514    [吹口哨],[嘘声],[嘶声]                              4
515    [哼唱],[嘘声],[倒吸气]                              4
516    [哈欠],[倒吸气],[嘶声]                              4
517    [打喷嚏],[倒吸气],[呻吟]                             4
518    [吹口哨],[倒吸气],[打喷嚏]                            4
519    [嘘声],[打喷嚏],[呻吟]                              4
520    [哼唱],[嘶声],[打喷嚏]                              4
521    [哼唱],[倒吸气],[嘘声]                              4
522    [打喷嚏],[嘶声],[吹口哨]                             4
523    [嘘声],[打鼾],[哈欠]                               4
524    [哭声],[笑声]                                    3
525    [咳嗽],[惊讶],[笑声]                               3
526    [惊讶],[疑问],[确认]                               3
527    [确认],[呼吸],[不满]                               3
528    [确认],[惊讶],[迟疑],[呼吸]                          3
529    [笑声],[迟疑],[惊讶]                               3
530    [确认],[迟疑],[疑问]                               3
531    [叹气],[笑声],[惊讶]                               3
532    [疑问],[惊讶],[呼吸]                               3
533    [叹气],[嘘声]                                    3
534    [咳嗽],[惊讶],[疑问]                               3
535    [不满],[笑声],[确认]                               3
536    [嘶声],[咳嗽]                                    3
537    [笑声],[哼唱]                                    3
538    [哼唱],[吹口哨],[咂嘴]                              3
539    [咂嘴],[笑声]                                    3
540    [叹气],[咂嘴]                                    3
541    [吹口哨],[笑声]                                   3
542    [叹气],[清嗓]                                    3
543    [咳嗽],[迟疑],[确认]                               3
544    [咳嗽],[迟疑],[疑问]                               3
545    [惊讶],[疑问],[迟疑],[呼吸]                          3
546    [咳嗽],[鼓掌]                                    3
547    [咂嘴],[笑声],[哼唱]                               3
548    [哼唱],[咳嗽]                                    3
549    [吸鼻],[吹口哨]                                   3
550    [笑声],[打喷嚏]                                   3
551    [清嗓],[嘶声]                                    3
552    [哼唱],[鼓掌],[吸鼻]                               3
553    [吸鼻],[鼓掌],[哼唱]                               3
554    [吸鼻],[嘶声]                                    3
555    [呼吸],[咂嘴],[哼唱]                               3
556    [迟疑],[惊讶],[不满]                               3
557    [迟疑],[不满],[呼吸]                               3
558    [咳嗽],[确认],[疑问]                               3
559    [嘘声],[确认]                                    3
560    [叹气],[惊讶],[不满]                               3
561    [叹气],[疑问],[惊讶]                               3
562    [鼓掌],[呻吟]                                    3
563    [呻吟],[咳嗽]                                    3
564    [笑声],[吸鼻]                                    3
565    [鼓掌],[笑声],[呼吸]                               3
566    [咂嘴],[咳嗽]                                    3
567    [笑声],[哼唱],[咂嘴]                               3
568    [呼吸],[迟疑],[不满]                               3
569    [惊讶],[不满],[呼吸]                               3
570    [鼓掌],[哼唱]                                    3
571    [清嗓],[打喷嚏]                                   3
572    [哼唱],[吸鼻]                                    3
573    [惊讶],[叹气],[不满]                               3
574    [叹气],[惊讶],[呼吸]                               3
575    [倒吸气],[打喷嚏],[咂嘴]                             3
576    [打鼾],[嘘声],[打喷嚏]                              3
577    [嘶声],[呻吟],[嘘声]                               3
578    [呻吟],[哈欠],[倒吸气]                              3
579    [打喷嚏],[嘶声],[咂嘴]                              3
580    [嘘声],[吹口哨],[哈欠]                              3
581    [倒吸气],[嘘声],[嘶声]                              3
582    [呻吟],[吹口哨],[打喷嚏]                             3
583    [打鼾],[哈欠],[咂嘴]                               3
584    [呻吟],[吹口哨],[嘘声]                              3
585    [哼唱],[嘶声],[呻吟]                               3
586    [哼唱],[吹口哨],[嘘声]                              3
587    [呻吟],[哼唱],[嘘声]                               3
588    [哈欠],[咂嘴],[吹口哨]                              3
589    [打喷嚏],[咂嘴],[吹口哨]                             3
590    [吹口哨],[打喷嚏],[哈欠]                             3
591    [打鼾],[呻吟],[打喷嚏]                              3
592    [吹口哨],[哼唱],[倒吸气]                             3
593    [嘘声],[哼唱],[打喷嚏]                              3
594    [倒吸气],[嘘声],[哼唱]                              3
595    [嘶声],[哼唱],[打鼾]                               3
596    [嘘声],[倒吸气],[吹口哨]                             3
597    [嘘声],[打鼾],[吹口哨]                              3
598    [倒吸气],[呻吟],[嘘声]                              3
599    [吹口哨],[嘘声],[咂嘴]                              3
600    [哼唱],[嘘声],[哈欠]                               3
601    [吹口哨],[呻吟],[嘘声]                              3
602    [哈欠],[打喷嚏],[哼唱]                              3
603    [哼唱],[嘘声],[呻吟]                               3
604    [吹口哨],[倒吸气],[呻吟]                             3
605    [吹口哨],[倒吸气],[哈欠]                             3
606    [打喷嚏],[打鼾],[哼唱]                              3
607    [倒吸气],[嘶声],[嘘声]                              3
608    [哈欠],[嘶声],[呻吟]                               3
609    [哼唱],[哈欠],[打喷嚏]                              3
610    [嘶声],[倒吸气],[呻吟]                              3
611    [打鼾],[倒吸气],[嘘声]                              3
612    [嘘声],[嘶声],[哈欠]                               3
613    [打喷嚏],[倒吸气],[咂嘴]                             3
614    [哈欠],[嘘声],[吹口哨]                              3
615    [倒吸气],[呻吟],[吹口哨]                             3
616    [打喷嚏],[哈欠],[哼唱]                              3
617    [打鼾],[打喷嚏],[哈欠]                              3
618    [吹口哨],[咂嘴],[呻吟]                              3
619    [吹口哨],[嘶声],[呻吟]                              3
620    [吹口哨],[打鼾],[呻吟]                              3
621    [嘘声],[打鼾],[打喷嚏]                              3
622    [哈欠],[呻吟],[打喷嚏]                              3
623    [嘶声],[打鼾],[哈欠]                               3
